TaskID,Created,Classification,Progress,TitleDocumentID,DocumentPresentInCorpus,Title,SourceExport
15127,2026-05-11T15:33:26Z,GOV TO GOV,Not Started,19877,no,19877 -2026-05-11 -OFFICE OF THE NATIONAL SECURITY ADVISER (REQUEST MICROSOFT WARNS OF MULTI-STAGE PHISHING CAMPAIGN USING LEGITIMATE EMAIL SERVICES ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15128,2026-05-11T15:35:32Z,Engagements and Events,Not Started,19862,no,19862 -2026-05-08 -1ST NTSCFSI(EXECUTIVE INVITATION LETTER ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15129,2026-05-11T15:36:06Z,Administrative Matters,Not Started,19868,no,19868 -2026-05-11 -MONACO VENTURES NIG LTDE (SUBMISSION OF INVOICE FOR PROVISION OF SERCURITY SERVICES FOR THE MONTH OF MAY 2026).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15130,2026-05-11T15:37:50Z,Sponsorship And Collaborations,Not Started,19876,no,19876 -2026-05-11 -A4S AUDIT ADVISORY ASSURANCE (STRATEGIC PARTNERSHIP PROPOSAL FOR HUMAN RESOURCES (HR) PEOFESSIONAL DEVELOPMENT).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15131,2026-05-11T15:38:52Z,Public Relations,Not Started,19875,no,19875 -2026-05-11 -NIRA (PROPOSAL TO FEATURE NIRA ON NITDAS TELEVISION PROGRAMME  PROMOTING.NG DOMAIN ADOPTION  AND NIGERIAS DIGITAL IDENTITY ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15132,2026-05-11T15:39:16Z,NITDA Services,Not Started,19874,no,19874 -2026-05-11 -NATIONAL BLOOD SERVICE AGENCY (NBSA) (REQUEST SUBMISSION OF IT PROJECTS FOR CLEARANCE  ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15133,2026-05-11T15:42:30Z,Public Relations,Not Started,19883,no,19883 -2026-05-11 -STUDENTS UNION GOVERNMENT UNIVERSITY OF ABUJA (REQUEST FOR A COURTESY VISIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15134,2026-05-11T15:42:56Z,Administrative Matters,Not Started,19870,no,19870 -2026-05-11 -ABUJA ELECTRICITY  DISTRIBUTION PLC.PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15135,2026-05-11T15:43:21Z,Administrative Matters,Not Started,19869,no,19869 -2026-05-11 -ABUJA ELECTRICITY  DISTRIBUTION PLC.PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15136,2026-05-11T19:59:46Z,Engagements and Events,Not Started,19893,no,19893 -2026-05-11 -PEBEC (INVITATION TO PRESENT AT THE  PEBEC RETREAT FOR HEADS OF MDAS GOVERNMENT DIGITIZATION-CURRENT REALITIES AND THE  ROAD AHEAD).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15137,2026-05-12T20:43:31Z,GOV TO GOV,Not Started,19871,no,19871 -2026-05-11 -FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY (INVITATION TO PARTICIPATE  IN STAKEHOLDER CONSULTATION ON CLIMATE CHANGE ADAPTATION AND FO,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15138,2026-05-12T20:44:26Z,Sponsorship And Collaborations,Not Started,19878,no,19878 -2026-05-11 -BLUEBERRY TRAVEL (SUBJECT COVERING LETTER FOR TRAVEL MANAGEMENT SERVICES ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15139,2026-05-12T20:44:47Z,Public Relations,Not Started,19884,no,19884 -2026-05-11 -STUDENTS UNION GOVERNMENT UNIVERSITY OF ABUJA (REQUEST FOR A COURTESY VISIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15140,2026-05-12T20:46:45Z,Sponsorship And Collaborations,Not Started,19880,no,19880 -2026-05-11 -FRC (NOMINATION TO PARTICIPATE AT THE IODCCG FRCN  MOFI & ICSAN  NATIONAL CORPORATE GOVERNANCE SUMMIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15141,2026-05-12T20:48:24Z,NITDA Engagements,Not Started,19885,no,19885 -2026-05-11 -ACCESS (REQUEST INVITATION TO PARTNER AS A CORPORATE SPONSOR AT THE DIGITAL  NIGERIA INTERNATIONAL CONFERENCE AND EXHIBITIONS (DNICE) 2026).P,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15142,2026-05-12T20:52:02Z,GOV TO GOV,Not Started,19891,no,19891 -2026-05-11 -NIGERIAN NUCLEAR REGULATORY AUTHORITY  ( REQUEST FOR NOMINATION ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15143,2026-05-12T20:53:09Z,Administrative Matters,Not Started,19895,no,19895 -2026-05-11 -RED STAR EXPRESS ( REQUEST FOR PAYMENT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15144,2026-05-12T20:53:47Z,Public Relations,Not Started,19899,no,19899 -2026-05-12 -NIGERIAN ASSOCIATION OF RESIDENTDOCTORS ( REQUEST FOR A COURTESY VISIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15145,2026-05-12T20:54:34Z,Administrative Matters,Not Started,19901,no,19901 -2026-05-12 -GREEN BOX ( REQUEST AWARD OF CONTRACT FOR CLEANING AND JANITORIAL SERVICES  FOR HEADQUARTERS AND NCAIR WUYE  ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15146,2026-05-12T20:57:18Z,GOV TO GOV,Not Started,19905,no,19905 -2026-05-12 -FEDERAL MINISTRY OF INDUSTRY TRADE AND INVESTMENT ( INVITATION TO PARTICIPATE IN THE SECOND NIGERIA-EU TRADE AND INVESTMENT).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15147,2026-05-12T20:58:40Z,GOV TO GOV,Not Started,19907,no,19907 -2026-05-12 -OFFICE OF THE NATIONAL SECURITY ADVISER (REQUEST UNITED NATIONS WARNS OF RISK OF INFORMATION CRISIS FUELLED BY AI IN ADVERTISING ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
