tree	file_count	total_bytes	text_files	binary_files	archives	documents	largest_file	initial_concern
.devcontainer	1	738	1	0	0	0	.devcontainer/devcontainer.json (738 bytes)	No Phase 0 concern beyond metadata inventory.
.github	1	3026	1	0	0	0	.github/workflows/ci.yml (3026 bytes)	No Phase 0 concern beyond metadata inventory.
ECM_ActivityHub_Portal	53	125881	53	0	0	1	ECM_ActivityHub_Portal/js/views/components/modals.js (19736 bytes)	No Phase 0 concern beyond metadata inventory.
assets	1	329	1	0	0	0	assets/dgo-mark.svg (329 bytes)	No Phase 0 concern beyond metadata inventory.
config	31	122514	31	0	0	0	config/action-routing.config.js (20851 bytes)	No Phase 0 concern beyond metadata inventory.
core	57	232322	57	0	0	0	core/welcome-experience.js (24370 bytes)	No Phase 0 concern beyond metadata inventory.
docs	14	171937	14	0	0	8	docs/forensic/18e9f4d/04-report.md (28848 bytes)	No Phase 0 concern beyond metadata inventory.
document-portal	42	732345	38	4	0	2	document-portal/ds/fonts/CascadiaMono-Regular.woff2 (143932 bytes)	Binary artifacts present.
modules	25	258499	25	0	0	0	modules/activities.js (24852 bytes)	No Phase 0 concern beyond metadata inventory.
newack	5	31589	5	0	0	0	newack/index.html (7893 bytes)	No Phase 0 concern beyond metadata inventory.
proxy	7	44452	7	0	0	1	proxy/test/proxy.test.mjs (13830 bytes)	Proxy implementation present; runtime coupling deferred to Phase 1.
root runtime	16	16986288	15	1	1	9	ECM_DOCS_DEV.zip (16783981 bytes)	Root mixes runtime files, archive, and audit/documentation markdown.
scripts	2	7860	2	0	0	0	scripts/setup-local.mjs (5809 bytes)	No Phase 0 concern beyond metadata inventory.
shared	8	51602	8	0	0	0	shared/shell.js (14000 bytes)	No Phase 0 concern beyond metadata inventory.
styles	18	200927	18	0	0	0	styles/app.css (81442 bytes)	No Phase 0 concern beyond metadata inventory.
tests	7	52775	7	0	0	2	tests/governance.test.mjs (14290 bytes)	Test suite present; reachability and coverage deferred to Phase 1.
universal_filename_policy_deliverables	6	57061	3	3	0	5	universal_filename_policy_deliverables/universal_filename_policy_word_version.docx (38946 bytes)	Deliverable-oriented tree; generated/current status deferred.
