entry_point	tree	runtime_type	referenced_files	external_calls	notes
index.html	root runtime	runtime-html	assets/dgo-mark.svg | core/boot.js | shared/figma-uiux-runtime.js | styles/index.css	https://*.api.powerplatform.com | https://*.logic.azure.com;	INDETERMINATE - external network behavior not executed in Phase 1.
ECM_ActivityHub_Portal/index.html	ECM_ActivityHub_Portal	runtime-html	ECM_ActivityHub_Portal/js/main.js | ECM_ActivityHub_Portal/powerAutomateClient.js	https://cdn.tailwindcss.com | https://fonts.googleapis.com | https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap | https://fonts.gstatic.com | https://unpkg.com/lucide@latest	INDETERMINATE - external network behavior not executed in Phase 1.
document-portal/index.html	document-portal	runtime-html	document-portal/admin.html | document-portal/ds/ds.css | document-portal/ds/logo/nitda-lockup-white.png | document-portal/ds/logo/nitda-symbol.png | document-portal/favicon.svg | document-portal/js/core.js | document-portal/js/data.js | document-portal/js/home.js | document-portal/js/icons.js | document-portal/manifest.webmanifest | document-portal/portal.css | document-portal/submit.html | document-portal/support.html | document-portal/track.html	https://*.api.powerplatform.com | https://*.logic.azure.com; | https://nitda.gov.ng	INDETERMINATE - external network behavior not executed in Phase 1.
document-portal/admin.html	document-portal	runtime-html	document-portal/ds/ds.css | document-portal/ds/logo/nitda-symbol.png | document-portal/favicon.svg | document-portal/index.html | document-portal/js/admin-panels.js | document-portal/js/admin.js | document-portal/js/core.js | document-portal/js/data.js | document-portal/js/icons.js | document-portal/manifest.webmanifest | document-portal/portal.css | document-portal/submit.html | document-portal/support.html | document-portal/track.html	https://*.api.powerplatform.com | https://*.logic.azure.com; | https://nitda.gov.ng	INDETERMINATE - external network behavior not executed in Phase 1.
document-portal/track.html	document-portal	runtime-html	document-portal/admin.html | document-portal/ds/ds.css | document-portal/ds/logo/nitda-lockup-white.png | document-portal/ds/logo/nitda-symbol.png | document-portal/favicon.svg | document-portal/index.html | document-portal/js/core.js | document-portal/js/data.js | document-portal/js/icons.js | document-portal/js/track.js | document-portal/manifest.webmanifest | document-portal/portal.css | document-portal/submit.html | document-portal/support.html	https://*.api.powerplatform.com | https://*.logic.azure.com; | https://nitda.gov.ng	INDETERMINATE - external network behavior not executed in Phase 1.
document-portal/submit.html	document-portal	runtime-html	document-portal/admin.html | document-portal/ds/ds.css | document-portal/ds/logo/nitda-lockup-white.png | document-portal/ds/logo/nitda-symbol.png | document-portal/favicon.svg | document-portal/index.html | document-portal/js/core.js | document-portal/js/data.js | document-portal/js/icons.js | document-portal/js/submit.js | document-portal/manifest.webmanifest | document-portal/portal.css | document-portal/support.html | document-portal/track.html	https://*.api.powerplatform.com | https://*.logic.azure.com; | https://nitda.gov.ng	INDETERMINATE - external network behavior not executed in Phase 1.
document-portal/support.html	document-portal	runtime-html	document-portal/admin.html | document-portal/ds/ds.css | document-portal/ds/logo/nitda-lockup-white.png | document-portal/ds/logo/nitda-symbol.png | document-portal/favicon.svg | document-portal/index.html | document-portal/js/core.js | document-portal/js/data.js | document-portal/js/icons.js | document-portal/js/support.js | document-portal/manifest.webmanifest | document-portal/portal.css | document-portal/submit.html | document-portal/track.html	https://*.api.powerplatform.com | https://*.logic.azure.com; | https://nitda.gov.ng	INDETERMINATE - external network behavior not executed in Phase 1.
document-portal/404.html	document-portal	runtime-html	document-portal/ds/ds.css | document-portal/ds/logo/nitda-symbol.png | document-portal/favicon.svg | document-portal/index.html | document-portal/js/core.js | document-portal/js/data.js | document-portal/js/icons.js | document-portal/portal.css | document-portal/submit.html | document-portal/support.html | document-portal/track.html	https://*.api.powerplatform.com | https://*.logic.azure.com; | https://nitda.gov.ng	INDETERMINATE - external network behavior not executed in Phase 1.
newack/index.html	newack	runtime-html	newack/ack.html | newack/config.js | newack/email.html | newack/styles.css		INDETERMINATE - external network behavior not executed in Phase 1.
newack/ack.html	newack	runtime-html	newack/config.js | newack/index.html | newack/styles.css		INDETERMINATE - external network behavior not executed in Phase 1.
newack/email.html	newack	runtime-html	newack/config.js | newack/index.html | newack/styles.css		INDETERMINATE - external network behavior not executed in Phase 1.
proxy/src/server.js	proxy	proxy-server	proxy/src/config.js | proxy/src/handler.js | proxy/src/jwt.js	http://x	INDETERMINATE - external network behavior not executed in Phase 1.
tests/auth-posture.test.mjs	tests	test-entry	AUDIT.md | ECM_ActivityHub_Portal/js/core/auth.js | ECM_ActivityHub_Portal/js/core/store.js | config/auth.config.js | core/auth.js	https://proxy.example/dgo	INDETERMINATE - external network behavior not executed in Phase 1.
tests/check-imports.mjs	tests	test-entry	ECM_ActivityHub_Portal/index.html | core/boot.js | index.html		INDETERMINATE - external network behavior not executed in Phase 1.
tests/check-secrets.mjs	tests	test-entry	CAPABILITY_ASSESSMENT_R11.6.md | ECM_DOCS_DEV.zip | tests/secrets-baseline.txt		INDETERMINATE - external network behavior not executed in Phase 1.
tests/governance.test.mjs	tests	test-entry	config/action-ownership.config.js | config/module-boundaries.config.js | config/rbac.config.js | config/routes.config.js | config/workflow-clarity.config.js | core/action-authority.js | core/audit-log.js | core/endpoint-registry.js | core/idempotency.js | core/ui.js	http://x/y | https://nitda.gov.ng/doc.pdf | https://x.powerplatform.com/flow/abc?api-version=1&sp=%2Ftriggers&sv=1.0&sig=REDACTED	INDETERMINATE - external network behavior not executed in Phase 1.
proxy/test/proxy.test.mjs	proxy	test-entry	AUTHENTICATION_CONTRACT.md | proxy/src/authorize.js | proxy/src/config.js | proxy/src/handler.js | proxy/src/jwt.js	https://evil.example/v2.0 | https://example/keys | https://flow.example/fetch?sig=REDACTED | https://flow.example/signed?sig=REDACTED | https://flow/x | https://login.microsoftonline.com/tenant-guid/v2.0	INDETERMINATE - external network behavior not executed in Phase 1.
scripts/setup-local.mjs	scripts	setup-script	.gitignore | AUTHENTICATION_CONTRACT.md | ECM_DOCS_DEV.zip | config/config.example.js | config/endpoints.config.js	http://localhost:8080/ | http://localhost:8080/#/diagnostics | http://localhost:8080/ECM_ActivityHub_Portal/ | http://localhost:8080/document-portal/	INDETERMINATE - external network behavior not executed in Phase 1.
scripts/check-links.mjs	scripts	script-entry	ECM_ActivityHub_Portal/index.html | index.html	http://localhost:${PORT}/ECM_ActivityHub_Portal/index.html`, | http://localhost:${PORT}/index.html`,	INDETERMINATE - external network behavior not executed in Phase 1.
playwright.config.js	root runtime	test-config	tests/README.md | tests/auth-posture.test.mjs	http://localhost:8080	INDETERMINATE - external network behavior not executed in Phase 1.
ECM_DOCS_DEV.zip	root runtime	archive-root			INDETERMINATE - external network behavior not executed in Phase 1.
