edge_index	from	to	kind	source_path	source_lines	quote
1	AUTHENTICATION_CONTRACT.md	core/auth.js	doc-mention	AUTHENTICATION_CONTRACT.md	80-80	import { registerTokenProvider } from './core/auth.js';
2	CAPABILITY_ASSESSMENT_R11.6.md	tests/README.md	doc-mention	CAPABILITY_ASSESSMENT_R11.6.md	233-233	**6 of the 8 npm scripts cannot run.** `playwright.config.js` points at `testDir: './tests'`, which does not exist. `scripts/check-links.mjs` (present) targets `ECM_ActivityHub_Portal/htdocs/index.html`, but the portal has **no `htdocs/` directory** in this repo — its files sit one level up — so the
3	ECM_ActivityHub_Portal/index.html	ECM_ActivityHub_Portal/powerAutomateClient.js	html-src	ECM_ActivityHub_Portal/index.html	48-48	<script src="./powerAutomateClient.js"></script>
4	ECM_ActivityHub_Portal/index.html	ECM_ActivityHub_Portal/js/main.js	html-src	ECM_ActivityHub_Portal/index.html	49-49	<script type="module" src="./js/main.js"></script>
5	ECM_ActivityHub_Portal/js/api/client.js	ECM_ActivityHub_Portal/js/core/config.js	import	ECM_ActivityHub_Portal/js/api/client.js	1-1	import { CONFIG } from "../core/config.js";
6	ECM_ActivityHub_Portal/js/api/client.js	ECM_ActivityHub_Portal/js/core/store.js	import	ECM_ActivityHub_Portal/js/api/client.js	2-2	import { Store } from "../core/store.js";
7	ECM_ActivityHub_Portal/js/api/client.js	ECM_ActivityHub_Portal/js/core/auth.js	import	ECM_ActivityHub_Portal/js/api/client.js	3-3	import { clientMayAssertIdentity, authHeaders, ensureAuthenticated, AuthConfig, isAuthEnforced } from "../core/auth.js";
8	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/core/store.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	1-1	import { Store, setDeepValue, setBusy, openModal, closeModal } from "../core/store.js";
9	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/views/layout.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	2-2	import { renderApp } from "../views/layout.js";
10	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/core/router.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	3-3	import { navigate } from "../core/router.js";
11	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/utils/toast.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	4-4	import { toast } from "../utils/toast.js";
12	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/services/bootstrap.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	6-6	import { initBootstrap } from "../services/bootstrap.js";
13	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/services/inbox.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	7-7	import { listInbox, triageInbox, promoteToTask } from "../services/inbox.js";
14	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/services/correspondence.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	8-8	import { listInward, listOutward, registerInward, createOutward, deleteCorrespondence } from "../services/correspondence.js";
15	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/services/minutes.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	9-9	import { listMinutes, createMinute, routeMinute, closeMinute } from "../services/minutes.js";
16	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/services/approvals.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	10-10	import { listApprovals, decideApproval } from "../services/approvals.js";
17	ECM_ActivityHub_Portal/js/controllers/actions.js	ECM_ActivityHub_Portal/js/services/briefs.js	import	ECM_ActivityHub_Portal/js/controllers/actions.js	11-11	import { listBriefs, createBrief, submitBrief, decideBrief } from "../services/briefs.js";
