path_a	path_b	relation	similarity_ratio	line_jaccard	shared_lines	lines_a	lines_b	same_basename	evidence_path_lines	evidence_quote
document-portal/ds/tokens/tokens.primitive.css	styles/dgo-design-system/tokens/tokens.primitive.css	divergent-copy	0.9933	0.9867	222	223	224	yes	document-portal/ds/tokens/tokens.primitive.css:2-2	DGO Design System v2.0 — Primitive Tokens
document-portal/ds/styles/layout.css	styles/dgo-design-system/layout.css	divergent-copy	0.9886	0.9714	68	88	88	yes	document-portal/ds/styles/layout.css:2-2	DGO v2.0 — Layout primitives
document-portal/ds/styles/reset.css	styles/dgo-design-system/reset.css	divergent-copy	0.9859	0.9697	32	36	35	yes	document-portal/ds/styles/reset.css:2-2	DGO v2.0 — Modern Reset
document-portal/ds/tokens/tokens.theme-light.css	styles/dgo-design-system/tokens/tokens.theme-light.css	divergent-copy	0.9714	0.9444	17	18	17	yes	document-portal/ds/tokens/tokens.theme-light.css:2-2	DGO v2.0 — Theme: Light (default)
document-portal/ds/styles/components.css	styles/dgo-design-system/components.css	divergent-copy	0.9531	0.8644	599	975	1052	yes	document-portal/ds/styles/components.css:2-2	DGO Design System v2.0 — Component Library
document-portal/ds/tokens/tokens.semantic.css	styles/dgo-design-system/tokens/tokens.semantic.css	divergent-copy	0.9412	0.8881	119	129	126	yes	document-portal/ds/tokens/tokens.semantic.css:2-2	DGO Design System v2.0 — Semantic Tokens
document-portal/ds/styles/base.css	styles/dgo-design-system/base.css	divergent-copy	0.9295	0.8739	97	113	128	yes	document-portal/ds/styles/base.css:2-2	DGO v2.0 — Base typography + page chrome
document-portal/ds/tokens/tokens.theme-hc.css	styles/dgo-design-system/tokens/tokens.theme-hc.css	divergent-copy	0.9078	0.8289	63	65	76	yes	document-portal/ds/tokens/tokens.theme-hc.css:2-2	DGO v2.0 — Theme: High-Contrast
document-portal/ds/tokens/tokens.theme-dark.css	styles/dgo-design-system/tokens/tokens.theme-dark.css	partial-fork	0.8375	0.7204	67	71	89	yes	document-portal/ds/tokens/tokens.theme-dark.css:2-2	DGO v2.0 — Theme: Dark
ECM_ActivityHub_Portal/js/views/pages/inward.js	ECM_ActivityHub_Portal/js/views/pages/outward.js	shared-lineage	0.7473	0.5893	33	46	45	no	ECM_ActivityHub_Portal/js/views/pages/inward.js:1-1	import { Store } from "../../core/store.js";
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/briefs.js	shared-lineage	0.6744	0.4717	25	42	44	no	ECM_ActivityHub_Portal/js/views/pages/approvals.js:1-1	import { Store } from "../../core/store.js";
