document_portal_path	styles_path	relation	counterpart_status	similarity_ratio	lines_only_in_document_portal	lines_only_in_styles	direction	resolvable_by_deleting_one_side
document-portal/ds/tokens/tokens.component.css	styles/dgo-design-system/tokens/tokens.component.css	exact-duplicate	paired-above-threshold	1.0	0	0	identical	yes
document-portal/ds/tokens/tokens.density.css	styles/dgo-design-system/tokens/tokens.density.css	exact-duplicate	paired-above-threshold	1.0	0	0	identical	yes
document-portal/ds/tokens/tokens.primitive.css	styles/dgo-design-system/tokens/tokens.primitive.css	divergent-copy	paired-above-threshold	0.9933	1	2	both-diverged	no
document-portal/ds/styles/layout.css	styles/dgo-design-system/layout.css	divergent-copy	paired-above-threshold	0.9886	1	1	both-diverged	no
document-portal/ds/styles/reset.css	styles/dgo-design-system/reset.css	divergent-copy	paired-above-threshold	0.9859	1	0	a-is-superset	no
document-portal/ds/tokens/tokens.theme-light.css	styles/dgo-design-system/tokens/tokens.theme-light.css	divergent-copy	paired-above-threshold	0.9714	1	0	a-is-superset	no
document-portal/ds/styles/components.css	styles/dgo-design-system/components.css	divergent-copy	paired-above-threshold	0.9531	9	86	both-diverged	no
document-portal/ds/tokens/tokens.semantic.css	styles/dgo-design-system/tokens/tokens.semantic.css	divergent-copy	paired-above-threshold	0.9412	9	6	both-diverged	no
document-portal/ds/styles/base.css	styles/dgo-design-system/base.css	divergent-copy	paired-above-threshold	0.9295	1	16	both-diverged	no
document-portal/ds/tokens/tokens.theme-hc.css	styles/dgo-design-system/tokens/tokens.theme-hc.css	divergent-copy	paired-above-threshold	0.9078	1	12	both-diverged	no
document-portal/ds/tokens/tokens.theme-dark.css	styles/dgo-design-system/tokens/tokens.theme-dark.css	partial-fork	paired-above-threshold	0.8375	4	22	both-diverged	no
document-portal/ds/colors_and_type.css	styles/dgo-design-system/colors_and_type.css	counterpart-below-threshold	paired-below-threshold	0.548	150	43	both-diverged	no
(none)	styles/dgo-design-system/brand-type.css	no-counterpart	unpaired	0.0	0	126	unique-to-styles	no
(none)	styles/dgo-design-system/platform-authority.css	no-counterpart	unpaired	0.0	0	122	unique-to-styles	no
(none)	styles/dgo-design-system/tokens/tokens.enhanced.css	no-counterpart	unpaired	0.0	0	28	unique-to-styles	no
(none)	styles/dgo-design-system/tokens/tokens.legacy-bridge.css	no-counterpart	unpaired	0.0	0	38	unique-to-styles	no
document-portal/ds/ds.css	(none)	no-counterpart	unpaired	0.0	15	0	unique-to-document-portal	no
document-portal/ds/styles/components/command-palette.css	(none)	no-counterpart	unpaired	0.0	313	0	unique-to-document-portal	no
