path_a	path_b	relation	similarity_ratio	lines_only_in_a	lines_only_in_b	direction	safe_to_delete_either
document-portal/ds/tokens/tokens.density.css	styles/dgo-design-system/tokens/tokens.density.css	exact-duplicate	1.0	0	0	identical	yes
document-portal/ds/tokens/tokens.component.css	styles/dgo-design-system/tokens/tokens.component.css	exact-duplicate	1.0	0	0	identical	yes
document-portal/ds/tokens/tokens.primitive.css	styles/dgo-design-system/tokens/tokens.primitive.css	divergent-copy	0.9933	1	2	both-diverged	no
document-portal/ds/styles/layout.css	styles/dgo-design-system/layout.css	divergent-copy	0.9886	1	1	both-diverged	no
document-portal/ds/styles/reset.css	styles/dgo-design-system/reset.css	divergent-copy	0.9859	1	0	a-is-superset	no
document-portal/ds/tokens/tokens.theme-light.css	styles/dgo-design-system/tokens/tokens.theme-light.css	divergent-copy	0.9714	1	0	a-is-superset	no
document-portal/ds/styles/components.css	styles/dgo-design-system/components.css	divergent-copy	0.9531	9	86	both-diverged	no
document-portal/ds/tokens/tokens.semantic.css	styles/dgo-design-system/tokens/tokens.semantic.css	divergent-copy	0.9412	9	6	both-diverged	no
document-portal/ds/styles/base.css	styles/dgo-design-system/base.css	divergent-copy	0.9295	1	16	both-diverged	no
document-portal/ds/tokens/tokens.theme-hc.css	styles/dgo-design-system/tokens/tokens.theme-hc.css	divergent-copy	0.9078	1	12	both-diverged	no
document-portal/ds/tokens/tokens.theme-dark.css	styles/dgo-design-system/tokens/tokens.theme-dark.css	partial-fork	0.8375	4	22	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/inward.js	ECM_ActivityHub_Portal/js/views/pages/outward.js	shared-lineage	0.7473	12	11	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/briefs.js	shared-lineage	0.6744	13	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/projects.js	shared-lineage	0.6744	13	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/tasks.js	shared-lineage	0.6744	13	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/minutes.js	shared-lineage	0.6667	13	16	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/briefs.js	ECM_ActivityHub_Portal/js/views/pages/projects.js	shared-lineage	0.6591	15	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/briefs.js	ECM_ActivityHub_Portal/js/views/pages/tasks.js	shared-lineage	0.6591	15	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/projects.js	ECM_ActivityHub_Portal/js/views/pages/tasks.js	shared-lineage	0.6591	15	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/briefs.js	ECM_ActivityHub_Portal/js/views/pages/minutes.js	shared-lineage	0.6517	15	16	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/minutes.js	ECM_ActivityHub_Portal/js/views/pages/projects.js	shared-lineage	0.6517	16	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/minutes.js	ECM_ActivityHub_Portal/js/views/pages/tasks.js	shared-lineage	0.6517	16	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/audit.js	ECM_ActivityHub_Portal/js/views/pages/directory.js	shared-lineage	0.6479	13	12	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/meetings.js	ECM_ActivityHub_Portal/js/views/pages/minutes.js	shared-lineage	0.6452	18	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/meetings.js	shared-lineage	0.6444	13	19	both-diverged	no
document-portal/submit.html	document-portal/track.html	shared-lineage	0.6346	90	24	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/briefs.js	ECM_ActivityHub_Portal/js/views/pages/meetings.js	shared-lineage	0.6304	15	19	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/meetings.js	ECM_ActivityHub_Portal/js/views/pages/projects.js	shared-lineage	0.6304	19	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/meetings.js	ECM_ActivityHub_Portal/js/views/pages/tasks.js	shared-lineage	0.6304	19	15	both-diverged	no
ECM_ActivityHub_Portal/js/views/pages/approvals.js	ECM_ActivityHub_Portal/js/views/pages/notifications.js	shared-lineage	0.6076	18	13	both-diverged	no
